# pillbox-gtin version=2026-09-09 count=57672
#
# Штрихкоды упаковок. Собирается скриптом tools/extract_esklp.py —
# правьте исходники, а не этот файл.
#
# Два источника:
#   ЕСКЛП (Минздрав) — только ЖНВЛП: штрихкод там лежит в блоке
#     предельных цен, а он заполняется лишь для препаратов из перечня;
#   source/gtin_manual.tsv — коды с упаковок, внесённые вручную
#     (0 шт.): препараты вне перечня и БАДы.
#
# Код приведён к 14 знакам — так он приходит из кода маркировки.
#
# manual-gtins:
#
# Формат: код;название;действующее вещество;форма;дозировка;единица
gtin;name;inn;form;strength;unit
03664798040685;Соликва СолоСтар;Инсулин Гларгин + Ликсисенатид;INJECTION;;
03664798040692;Соликва СолоСтар;Инсулин Гларгин + Ликсисенатид;INJECTION;;
03664798043860;Лантус СолоСтар;Инсулин Гларгин;INJECTION;;
03664798043877;Туджео СолоСтар;Инсулин Гларгин;INJECTION;;
03664798043884;Туджео СолоСтар;Инсулин Гларгин;INJECTION;;
03664798044010;Но-шпа;Дротаверин;INJECTION;20;MG
03664798044577;Но-шпа;Дротаверин;TABLET;40;MG
03664798044614;Но-шпа;Дротаверин;TABLET;40;MG
03664798044621;Но-шпа;Дротаверин;TABLET;40;MG
03664798044638;Но-шпа форте;Дротаверин;TABLET;80;MG
03664798044737;Но-шпа форте;Дротаверин;TABLET;80;MG
03664798045147;Залтрап;Афлиберцепт;INJECTION;25;MG
03664798045154;Залтрап;Афлиберцепт;INJECTION;25;MG
03664798045307;Плавикс;Клопидогрел;TABLET;75;MG
03664798045314;Плавикс;Клопидогрел;TABLET;75;MG
03664798045420;Клексан;Эноксапарин Натрия;INJECTION;;
03664798045437;Клексан;Эноксапарин Натрия;INJECTION;;
03664798045444;Клексан;Эноксапарин Натрия;INJECTION;;
03664798045710;Имован;Зопиклон;TABLET;7.5;MG
03664798045741;Зодак;Цетиризин;DROPS;10;MG
03664798046700;Лозап;Лозартан;TABLET;50;MG
03664798046717;Лозап;Лозартан;TABLET;50;MG
03664798046724;Лозап;Лозартан;TABLET;100;MG
03664798046731;Лозап;Лозартан;TABLET;100;MG
03664798046762;Лозап;Лозартан;TABLET;50;MG
03664798047127;Гипотиазид;Гидрохлоротиазид;TABLET;25;MG
03664798047448;Гипотиазид;Гидрохлоротиазид;TABLET;100;MG
03664798047455;Гипотиазид;Гидрохлоротиазид;TABLET;25;MG
03664798047462;Кордарон;Амиодарон;TABLET;200;MG
03664798047790;Депакин Хроносфера;Вальпроевая Кислота;POWDER;1000;MG
03664798047806;Депакин Хроносфера;Вальпроевая Кислота;POWDER;750;MG
03664798047813;Депакин Хроносфера;Вальпроевая Кислота;POWDER;500;MG
03664798047820;Депакин Хроносфера;Вальпроевая Кислота;POWDER;250;MG
03664798047837;Депакин Хроносфера;Вальпроевая Кислота;POWDER;100;MG
03664798047974;Депакин энтерик 300;Вальпроевая Кислота;TABLET;300;MG
03664798048209;Но-шпа;Дротаверин;INJECTION;20;MG
03664798048643;Дульколакс;Бисакодил;TABLET;5;MG
03664798048681;Гутталакс Экспресс;Бисакодил;SUPPOSITORY;10;MG
03664798048704;Лазолван;Амброксол;SYRUP;15;MG
03664798048711;Лазолван;Амброксол;SYRUP;30;MG
03664798048728;Лазолван;Амброксол;INHALER;7.5;MG
03664798048735;Лазолван Макс;Амброксол;CAPSULE;75;MG
03664798048742;Лазолван;Амброксол;TABLET;30;MG
03664798048759;Лазолван;Амброксол;TABLET;30;MG
03664798049329;Депакин хроно;Вальпроевая Кислота;TABLET;300;MG
03664798049336;Депакин хроно;Вальпроевая Кислота;TABLET;500;MG
03664798049534;Депакин;Вальпроевая Кислота;SYRUP;57.64;MG
03664798050165;Но-шпа;Дротаверин;INJECTION;20;MG
03664798050233;Зодак;Цетиризин;TABLET;10;MG
03664798050271;Зодак;Цетиризин;TABLET;10;MG
03664798051735;Капрелса;Вандетаниб;TABLET;100;MG
03664798051742;Капрелса;Вандетаниб;TABLET;300;MG
03664798051766;Лемтрада;Алемтузумаб;INJECTION;10;MG
03664798052626;Пралуэнт;Алирокумаб;INJECTION;150;MG
03664798052633;Пралуэнт;Алирокумаб;INJECTION;75;MG
03664798052756;Коронал;Бисопролол;TABLET;5;MG
03664798052763;Коронал;Бисопролол;TABLET;10;MG
03664798052770;Коронал;Бисопролол;TABLET;5;MG
03664798052787;Коронал;Бисопролол;TABLET;10;MG
03664798052794;Коронал;Бисопролол;TABLET;5;MG
03664798053715;Пралуэнт;Алирокумаб;INJECTION;150;MG
03664798053722;Коронал;Бисопролол;TABLET;10;MG
